UniqueID,lat,long,Classified
0,38.87715418,-78.70791375,67
1,38.40984931,-78.12419066,64
2,38.56804483,-77.56256243,64
3,38.20826673,-78.52600472,64
4,38.22955893,-78.29208474,64
5,38.17673642,-78.47237511,64
6,38.08349216,-78.08915551,45
7,38.27833704,-77.88891958,45
8,38.16757297,-77.68248995,45
9,38.11636911,-77.59867669,45
10,38.11098252,-77.40329226,65
11,38.06381861,-77.16128347,65
12,38.06543726,-77.07019741,65
13,37.93042014,-78.80115801,64
14,37.92098914,-78.65967519,64
15,37.83340348,-78.68905175,64
16,37.92125669,-78.16542397,45
17,37.89295923,-78.19075613,45
18,37.94658884,-77.7056639,45
19,37.92934104,-77.80241301,45
20,37.89915738,-77.79675442,45
21,37.77626902,-77.73315426,45
22,37.97839115,-77.64772234,45
23,37.93284589,-77.51135857,65
24,37.90724173,-77.55609673,45
25,38.00695615,-77.20386342,65
26,37.87059238,-77.35909365,65
27,38.03660025,-76.88209023,65
28,37.95737095,-77.04755855,65
29,37.94173734,-77.05780111,65
30,37.92745484,-77.02276595,65
31,37.85927518,-76.87508052,65
32,37.95413364,-76.77968252,65
33,37.86762708,-76.6991021,65
34,37.84714643,-76.57082268,65
35,37.90104358,-76.28515929,63
36,37.88460733,-76.50371767,65
37,37.88379578,-76.36789345,65
38,37.60379099,-78.94237328,45
39,37.75309061,-78.74214181,64
40,37.7129364,-78.68824019,45
41,37.68787625,-78.54729693,45
42,37.62131079,-78.65752145,45
43,37.58088458,-78.53894057,45
44,37.66389075,-78.41389846,45
45,37.64367765,-77.9840545,45
46,37.55689908,-77.85819637,45
47,37.73180286,-77.62670214,45
48,37.74931821,-77.27662703,65
49,37.76010031,-76.96913634,65
50,37.75713501,-76.85433233,65
51,37.71805991,-76.84489687,65
52,37.6717031,-76.84085692,65
53,37.6679307,-76.92116533,65
54,37.65715305,-76.82468822,65
55,37.6280485,-76.88101113,65
56,37.62427164,-77.00066665,65
57,37.61807349,-76.93895269,65
58,37.56579499,-76.83304012,65
59,37.51162583,-76.87050103,65
60,37.50434857,-76.97317629,65
61,37.49545713,-76.90553618,65
62,37.73180286,-76.66783934,65
63,37.71698081,-76.80690087,65
64,37.6948815,-76.63981389,65
65,37.67412885,-76.81363857,65
66,37.65014334,-76.73090441,65
67,37.63936569,-76.79935607,65
68,37.63074179,-76.75353881,65
69,37.63074179,-76.6856267,65
70,37.57441889,-76.7106913,65
71,37.57037448,-76.68535915,65
72,37.54180948,-76.71985476,65
73,37.50920008,-76.7028745,65
74,37.49383847,-76.64277919,65
75,37.56768119,-76.46329592,65
76,37.22083893,-78.82891591,45
77,37.25318079,-78.30502059,45
78,37.38253931,-78.15437432,45
79,37.42134241,-77.81346267,45
80,37.37768781,-77.78058572,45
81,37.32459775,-77.85954748,45
82,37.23647254,-77.76091216,45
83,37.21841318,-77.85658217,45
84,37.32324664,-77.64448949,45
85,37.30519174,-77.54531463,45
86,37.27824094,-77.16721407,65
87,37.21248703,-77.12140127,65
88,37.47012497,-76.87104058,65
89,37.45611002,-77.0125234,65
90,37.41703046,-77.07585601,65
91,37.3755296,-76.87292678,65
92,37.36447995,-77.0699254,65
93,37.29899359,-76.91954668,65
94,37.47820932,-76.56758983,65
95,37.45206561,-76.59292199,65
96,37.44883277,-76.49563332,65
97,36.9702107,-79.73954015,45
98,37.13837677,-79.44066891,45
99,37.0162955,-79.0946382,45
100,37.08905912,-78.63137774,45
101,37.01467685,-78.66533379,45
102,37.08124231,-78.32927364,45
103,36.95835395,-78.28615413,45
104,37.16289737,-77.95871788,45
105,37.07585126,-78.14601796,45
106,37.05752881,-78.18590462,45
107,37.20089783,-77.74878341,45
108,37.19550678,-77.87490908,45
109,37.13082752,-77.83421532,45
110,37.07558371,-77.7045848,45
111,37.0200679,-77.75578865,45
112,36.99581039,-77.71105495,45
113,36.99554285,-77.79432866,45
114,36.97344354,-77.71482735,45
115,37.17879852,-77.58223598,45
116,37.15643167,-77.60029088,45
117,37.08420761,-77.63963799,45
118,37.0321922,-77.58438973,45
119,37.0065925,-77.50516042,65
120,37.0028201,-77.46096181,65
121,36.9990477,-77.60244909,45
122,36.94110614,-77.59409273,45
123,37.16209027,-77.18850628,65
124,37.09417816,-77.27878524,65
125,37.08204941,-77.12220836,65
126,37.040009,-77.29468639,65
127,37.0257265,-77.32028609,65
128,37.0246474,-77.24590829,65
129,37.0160235,-77.23620528,65
130,37.0103649,-77.12194082,65
131,36.99662195,-77.22784893,65
132,36.93894794,-77.3442716,65
133,37.17853098,-77.0451328,65
134,37.14564957,-76.96428484,65
135,37.12462936,-76.96401729,65
136,37.11897077,-77.0127954,65
137,37.07423706,-77.03111785,65
138,37.02518695,-77.0623806,65
139,37.02141455,-77.0106372,65
140,36.99850815,-76.95431429,65
141,36.95538864,-76.85163457,63
142,36.94919049,-77.05402871,65
143,37.07746991,-76.74060295,63
144,36.98718649,-76.77483101,63
145,36.97829505,-76.79396502,63
146,36.70233466,-79.95378658,45
147,36.70044846,-79.7314558,45
148,36.85944663,-79.45737716,45
149,36.92358633,-79.28031963,45
150,36.82495102,-79.29729989,45
151,36.77913822,-79.22776913,45
152,36.91307623,-78.80843526,45
153,36.75111276,-78.80358376,45
154,36.81848532,-78.70036895,45
155,36.88100638,-78.30097619,45
156,36.87804554,-78.36215505,45
157,36.84004508,-78.24276708,45
158,36.74760791,-78.3826357,45
159,36.73844446,-78.45943926,45
160,36.91954639,-77.95871788,45
161,36.91226914,-77.98297539,45
162,36.83681223,-77.98162875,45
163,36.7244295,-77.97057909,45
164,36.69909735,-77.97866344,45
165,36.6872406,-77.97300484,45
166,36.6654133,-77.95036599,45
167,36.86591678,-77.69003475,45
168,36.80312372,-77.67844555,45
169,36.77294006,-77.87382998,45
170,36.69235965,-77.7296494,45
171,36.66756705,-77.90724648,45
172,36.92170013,-77.60110244,45
173,36.90633853,-77.64475704,45
174,36.87696643,-77.4102975,65
175,36.79530692,-77.62185064,45
176,36.78372217,-77.52106157,65
177,36.73736536,-77.62886034,45
178,36.73197876,-77.47632341,65
179,36.87211493,-77.3709504,65
180,36.86321902,-77.20764028,65
181,36.85863953,-77.19551153,65
182,36.83977307,-77.19497197,65
183,36.83034207,-77.14700096,65
184,36.82010398,-77.21114067,65
185,36.78264307,-77.27366619,65
186,36.77078632,-77.28417629,65
187,36.7263157,-77.12975316,65
188,36.72281531,-77.14673342,65
189,36.7187709,-77.36987575,65
190,36.93463599,-76.82980727,63
191,36.92439789,-77.0623806,65
192,36.85756043,-76.91281344,63
193,36.79234607,-76.92305153,63
194,36.68508686,-76.87562007,63
195,36.82306482,-76.76997951,63
196,36.71445895,-76.717157,63
197,36.67996335,-76.70610735,63
198,36.41801792,-80.87303472,45
199,36.62849195,-80.05484765,45
200,36.60342734,-79.75786706,45
201,36.57809518,-79.56248263,45
202,36.60046204,-79.04855785,45
203,36.55141638,-78.98414614,45
204,36.52716333,-78.81571252,45
205,36.40966156,-78.72785931,45
206,36.40427051,-78.54702492,45
207,36.56623844,-78.20476662,45
208,36.53632233,-78.26190108,45
209,36.40992911,-78.29181719,45
210,36.39726526,-78.46536986,45
211,36.61232324,-77.96195519,45
212,36.60019449,-77.94955889,45
213,36.53282193,-78.16865682,45
214,36.46652402,-78.0223225,45
215,36.41397351,-77.97300484,45
216,36.40238431,-78.12419066,45
217,36.6346901,-77.71402025,45
218,36.59696164,-77.78031371,45
219,36.59588254,-77.79810106,45
220,36.57297614,-77.79190291,45
221,36.56219403,-77.7018915,45
222,36.49536102,-77.69757955,45
223,36.45008777,-77.89080577,45
224,36.44092432,-77.79109582,45
225,36.41855301,-77.83556197,45
226,36.41585971,-77.88999868,45
227,36.40561716,-77.78839806,45
228,36.52096518,-77.49007082,65
229,36.51045062,-77.55151278,65
230,36.48943042,-77.55421053,65
231,36.44361762,-77.59301363,65
232,36.43256796,-77.51163058,63
233,36.64115579,-77.35046975,65
234,36.62417999,-77.09579711,63
235,36.57081793,-77.05402871,63
236,36.43984522,-77.0041715,63
237,36.40561716,-76.96671059,63
238,36.64977969,-76.66218074,63
239,36.64196735,-76.7104193,63
240,36.63711585,-76.60477874,63
241,36.62364044,-76.57621373,63
242,36.60558554,-76.65247774,63
243,36.15957288,-88.53719046,65
244,36.3783988,-80.02439645,45
245,36.38136411,-79.82550716,45
246,36.3525271,-79.33152349,45
247,36.33959125,-79.25795278,45
248,36.37247266,-78.89683248,45
249,36.20349948,-78.80358376,45
250,36.36681406,-78.72893395,45
251,36.20026663,-78.64970464,45
252,36.16927142,-78.7133048,45
253,36.16388483,-78.51926702,45
254,36.25147049,-78.35918975,45
255,36.23960928,-78.20423153,45
256,36.20538568,-78.3815566,45
257,36.16981097,-78.34220949,45
258,36.35414575,-77.94632158,45
259,36.3525271,-78.06813531,45
260,36.3371655,-78.10235891,45
261,36.3366304,-77.93311818,45
262,36.32180835,-78.03795165,45
263,36.27518399,-78.15167656,45
264,36.24661899,-78.08484356,45
265,36.23017828,-78.00264895,45
266,36.22775253,-78.11206191,45
267,36.20188083,-78.17916692,45
268,36.19730133,-77.97246529,45
269,36.37867081,-77.92772713,45
270,36.36465585,-77.89754348,45
271,36.3527991,-77.82747762,45
272,36.322883,-77.69488625,65
273,36.31318445,-77.80106637,45
274,36.18705878,-77.7266841,65
275,36.15013742,-77.74878341,65
276,36.34956626,-77.43077816,63
277,36.29431799,-77.57469118,65
278,36.28407544,-77.57630538,65
279,36.23529733,-77.51001192,65
