,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,0.263052892434587,0.3036274386883311,0.30842290950949364,0.2996331896565276,0.3012880985140966,0.3406822270292107,0.3141108554607889,0.2900937391196653,0.31004762788269097,0.3372359825884302,0.373957346078594,0.3699160876461614,0.34354263044719213,0.3204617848480908,0.3235519169513492,0.1500997555790464,0.0217922412820052,0.0698322981507172,0.1312076525593815,0.2148506039805712,0.4048354835565776,0.3644331061248473,0.5065224317341656,0.4726184594984824,0.5797783269391747,0.62659310205577,0.5232480399275474,0.5859057299146238,0.6485296324378804,0.6135093796456648,0.5518607213320678,0.6014416374953989,0.5735675857474938,0.5951885778652124,0.7212149041129311
1,,,0.1916118275454277,0.1978207120276037,0.3113043226574227,0.2478847334385584,0.2510604606003146,0.2544142163497248,0.258089382995177,0.3307688281260466,0.2731078684047026,0.2718315304607295,0.2981458562599218,0.0662022214731385,-0.07782894178186883,-0.0854258065228188,0.070973182223473,0.2012676744696082,0.3202494139679315,0.531685698202155,0.5111381993783782,0.5593376325865226,0.6618428916213435,0.6018572438199306,0.5875287848755956,0.6663908677971986,0.660052106737325,0.700759171690564,0.7245906384022535,0.4604808599447545,0.4540329009951975,0.3630155058204712,0.536119895669143,0.5370765844226316,0.5890509192086704,0.6003510878176637,0.5887144971945804,0.6415320331242722
2,0.4016462852014228,0.524351595535076,0.4848769642412662,0.429198241568104,0.4414161289376871,0.4438159197369324,0.45489749843601335,0.4680180155472564,0.4515619274544796,0.5135955562831702,0.5157927759158026,0.4951380592870659,0.496331455352317,0.4824281334461244,0.05209220895631,-0.2283832632071738,-0.0639170602704065,0.0078783924897071,0.1157555299536657,0.2775954975680049,0.4600090132859935,0.5110471659572795,0.5344227426269624,0.6014311113727413,0.5547929510773558,0.6701756624139048,0.6333935652011341,0.6809078388448274,0.7190474275765676,0.5882668195491924,0.697708428754205,0.6489589926454107,0.6565678011226868,0.6524439873340141,0.6635617810700623,0.7044988562286434,0.6718252569969212,0.7071300182391758
3,,,0.6257881465595131,0.520136603443471,0.5624454021954596,0.5627357607393898,0.5738565530085653,0.58704982698381,0.5574596649423363,0.2477313247853626,-0.0380272512638159,0.0252615828094412,0.0208999565799662,0.2482430163892969,0.3044209339392644,0.371757467141883,0.5308287378470459,0.6294621326482053,0.6640276605760441,0.6986942887640039,0.7911432257088516,0.6270350895653048,0.7029710473950187,0.6671950525677995,0.6547679340629075,0.7086733995249076,0.4019774766787532,0.6059085183269134,0.5625014318384333,0.6047165188693225,0.5026522987498452,0.4458125903284439,0.3353731882143207,0.4774747953169388,0.5421915974179023,0.5549789431281398,0.5913627587156582,0.7049033061291651
4,,,0.4862329016394346,0.3550786635252021,0.3782930998160417,0.3625081222641498,0.4090374969739021,0.4393053485138693,0.189035247323653,0.033507851841887704,-0.0300997491830703,0.0384665547663895,0.0551539044424234,0.2542445817022854,0.3348864617740974,0.4170636473059755,0.5169986340312283,0.5780065848807935,0.6444768461410033,0.616142257951759,0.5108388911374803,0.7099875865876256,0.6327017756552133,0.5802910409639578,0.5722011487431726,0.4072400370519058,0.5121268964142035,0.713109721709383,0.6677655985044543,0.4730859358563923,0.5893173036899549,0.5622579332197205,0.45071133451584566,0.3823564361490939,0.4142498622435671,0.4425653364257084,0.4670002482670282,0.6152167124137277
5,,,0.4473623787119545,0.3017244397925127,0.3376691784296932,0.4018309763905711,0.4196972946069659,0.3704782389574598,0.0452775861059549,0.04371213941709091,0.0453878036171177,0.048632002881954,0.0543288680433516,0.1494192434477438,0.20180983435243496,0.2543409994741977,0.3105792467632602,0.4043230454099129,0.4503520828477128,0.6132403102529668,0.4900904911514083,0.5556573366550377,0.5255891011607262,0.521765169162737,0.5645878030157022,0.5815651564410826,0.3609898003003707,0.5960207200735849,0.5522567409052201,0.553534824324858,0.5149396085388029,0.5525056232911174,0.5288032946378496,0.5078258419103743,0.5805444716404062,0.5660551613460584,0.5390672676526481,0.6684505799207915
6,,0.350343084571468,0.1546211398093343,0.1147877493913537,0.1168250353270516,0.1530988412263119,0.1588999143490603,0.1500474220164273,0.1184641818994047,0.1467247373474451,0.1465629860905323,0.1225115990946051,0.1369852819706356,-0.0766659334974992,-0.07399904922277212,-0.0497457574284681,-0.0086074369647086,0.1433954843395578,0.3635181783959918,0.5461121986306895,0.7741045240908401,0.7217973882343436,0.6873904030019564,0.696251593754177,0.6909435982280785,0.7354986312081888,0.6760166943759923,0.7711648494382024,0.7592642742718628,0.4043680841530639,0.7370832815837512,0.766134319194216,0.780320079554892,0.7080599674350526,0.6517356605501651,0.716796747232696,0.6832233267776348,0.4981504839419247
7,,0.657890735030216,0.5760627129541913,0.575165431877568,0.6259443752062301,0.6268667526881613,0.6277043617454692,0.6284857203267763,0.5777960962297806,0.6324341027708584,-0.0333899368873608,-0.0346404833995841,0.0199330974040778,0.0292000904404028,0.0873245587981134,0.0820748539389734,0.1886322969279293,0.3338530846420662,0.4674809923415363,0.5416617948254774,0.5420618532282946,0.6284255546695785,0.5630346016140381,0.6052418342398179,0.6205475361024271,0.6594173024610663,0.6334403879142383,0.6726988024813234,0.5710702722602792,0.5374274550681096,0.5390718194686892,0.5632095556043869,0.564038718692787,0.5816615980057922,0.5877492549174701,0.6224286234151495,0.6383526954450973,0.6565378350417265
8,0.5884026402987809,0.7180141381975718,0.6951112996393545,0.6804687951299465,0.6331425644342589,0.6503758600565339,0.6663178143718457,0.6802874785516484,-0.1775833884563408,0.0521294829323241,0.0194963918251249,0.0373616814821983,0.102589459163957,0.2595551675714989,0.2586605932758622,0.3642574628171917,0.5312185862073708,0.6210896168994289,0.67993114763066,0.6681276336666985,0.7350127529744105,0.7116438615258687,0.7519213487473699,0.7324586360770359,0.6857179477581355,0.7575452615152517,0.6816400414720298,0.7409595690899221,0.7842155041997754,0.5003951689219548,0.5576092855114458,0.4526269523178084,0.5958109281871605,0.6189715706377394,0.6076412160701692,0.6546862935258775,0.6488972162873229,0.659417179294475
9,0.6002443999929815,0.7150116482757419,0.5887944079548916,0.6452879003354911,0.629136618909127,0.6649408891692569,0.3637194565662609,0.024693055520145,-0.05442552675180925,-0.0771194991220682,-0.053757536809416,0.0016329524185649,0.2166652276129742,0.4196023523222346,0.3819340148028953,0.4186693921580722,0.5800313676891622,0.5570886940808984,0.6427444074297688,0.6205060389650486,0.6700579721997866,0.6670726030605202,0.7501247201527653,0.6947392016607449,0.6005301089139673,0.6975701028802452,0.6241399022840683,0.7265867896367589,0.5585254553658431,0.6597331929507797,0.4793599879423999,0.5389644656492316,0.5063002041730439,0.5966028716503988,0.5872623650756825,0.6297989580942237,0.6336516408231448,0.6239590427985867
10,0.3648099736465849,0.4926158935758204,0.4616187583637577,0.4293701998202931,0.4070183131079274,0.3960925337956947,0.425440050772693,0.4707770751164821,0.5009611416107547,0.4905644153945523,0.0504603217086881,-0.1990666944573597,-0.06384169072983568,0.0915686825091317,0.1041200947460816,0.1523828601623622,0.1897168049263442,0.2673085872157608,0.3895028546966355,0.4264757483355268,0.5443478075965371,0.5619381321746796,0.7090799873026162,0.6521912322265405,0.5794996412427768,0.694249510209125,0.6748390334382983,0.7060246190962782,0.7364140758580445,0.7474128768530317,0.6863658694711495,0.736037151583714,0.3011414981482171,0.6412591919715691,0.6807584018273297,0.7021571290971468,0.4069399239864978,0.6682783300557199
11,-0.021504635775018,0.0863426948992744,0.22082495153828297,0.3371547850562766,0.39256148539202945,0.4382199195447823,0.5002854489002668,0.5562053342934428,0.5719753298379412,0.5626657207107517,0.5446904239957346,0.5857642594860226,0.6125815402574699,0.6256353687615637,0.5024833341310878,0.5989374319068883,0.5815370409497407,0.5920595596773931,0.5576081893597479,0.0310431433874632,0.0457802865512866,0.130376689708827,0.2896385373229276,0.2364373567179202,0.3020432324971457,0.3448854669177408,0.4065420024917348,0.4498918093961246,0.5390782853694944,0.5118776225732574,0.4679635298676774,0.4783111224583055,0.415883903820996,0.4985871264856319,0.5461505984410674,0.5672357199696277,0.6432436836316399,0.5275146863437713
12,0.3419497660521804,0.3242996922905261,0.34708234698426976,0.3698896972968998,0.35550687517137164,0.3446986121122886,0.3649789757363975,0.390686551482749,0.4036743305582708,0.4012303556794161,-0.1758269625381603,-0.0418982812887349,0.019849137395407265,0.0794711212702348,0.1347885701211496,0.2230503707618751,0.3238631557397347,0.4490774833445094,0.6025023846268452,0.62809066576362,0.6381477855436544,0.6828984531340726,0.7172975864634128,0.6271682918880401,0.5378898858956661,0.6474170533612733,0.6272426606437592,0.6460665095704906,0.594491702080649,0.5770384967825622,0.5744185099802562,0.625907575657908,0.470672733850099,0.3172644958312798,0.3820535070381306,0.4828548108018542,0.4662825939697758,0.4617051466701394
13,,,0.3321136184970696,0.2167451635966636,0.2270240188363392,0.2069376000645346,0.2161150416143534,0.2260272518155322,0.1982191751795064,0.2103718767357116,0.2321570943650101,0.2110533896861127,-0.2761253787714923,0.1308673692511112,0.14716786919924926,0.11476040426103348,0.1870487994296234,0.413038487934417,0.5148703524641064,0.6434854246375917,0.7771399329145459,0.7470148094188607,0.6638115358264758,0.6546899004376076,0.6429892175757472,0.6362601302593728,0.650524002462372,0.6827888921520214,0.7402988142644015,0.6889275948364357,0.5311636624860954,0.6357149057305813,0.6087111024882262,0.6005149638862416,0.6053596127121136,0.6508485571572677,0.6587541842420063,0.7618597898372385
14,,,0.2149440530799561,0.1126200102620414,0.1426989007941951,0.1878739083360117,0.19569403813252942,0.1747072999467581,0.1186502097059364,0.14638908691747987,0.1882324980860296,0.1121556217023089,-0.1641107375141375,-0.0111034703734808,0.0397162255262805,0.0795455268704107,0.085393550481924,0.3127792357713813,0.4397235790556017,0.5082749351816833,0.8016636132585413,0.7521431094465512,0.6670143165104241,0.6349513675601254,0.6485632856292477,0.6874100616792354,0.6365398920468155,0.7496146965926168,0.4191498090293823,0.4993687822307569,0.5080318061029513,0.605260999870111,0.3467714351581297,0.6054636019742159,0.5666298574165263,0.6477744491750789,0.6136645551303944,0.6840740008342016
15,,,0.4911008073609662,0.4191195670769296,0.4347154951146381,0.4334851824001155,0.15870447951138292,-0.1144635225328701,-0.089707290796055,-0.025373000761357938,0.037644239801342,0.0511816066689789,0.2629752282434228,0.4714846859178083,0.47798088520887283,0.4332987465980379,0.6394768142903393,0.6529079103334385,0.600961210934276,0.6647232979536056,0.7715682588009672,0.7072303623469038,0.615536900643598,0.6748572370376098,0.6768018737096678,0.6402566509829326,0.588122829320756,0.6866243672133847,0.7056194439869038,0.6658832002431154,0.6259336178275673,0.6324236622418871,0.6002867430617864,0.6277866071936762,0.6008463222702796,0.6378258744424038,0.574061163624918,0.7060701122168792
